subject	first_block	ehi	age	country	sex	education	race	hispanic_ethnicity	rt_overall	duration_s	task_experience_response	task_experience_other_response	open_ended_feedback_response	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_country	exclude_age	exclude_done_before	exclude_no_ehi	exclude
53c04378fdf99b360e022d92	z	62.5	26	US	Female	16	White	No	1137	749.121	No	NA	NA	0	0	0	0	0	0	0	0	0
545cbbcafdf99b11ed040acf	slash	62.5	28	US	Female	16	Asian	No	766.5	666.221	No	NA	NA	0	0	0	0	0	0	0	0	0
5484949efdf99b0379939cc6	slash	-100	38	US	Male	16	White	No	700.5	560.669	No	NA	NA	0	0	0	0	0	0	0	0	0
558955ebfdf99b6bd06016c9	slash	100	32	US	Male	16	White	No	546	502.891	No	NA	Thanks!	0	0	0	0	0	0	0	0	0
55ae64defdf99b3f864653e7	z	-50	26	US	Female	16	White	No	770	658.294	No	NA	NA	0	0	0	0	0	0	0	0	0
55b0029bfdf99b5c00619440	slash	87.5	38	US	Female	12	Black or African American	No	586	1053.577	No	NA	NA	0	0	0	0	0	0	0	0	0
55bb9ae7fdf99b26d27fda01	z	75	36	US	Female	12	White	No	833	860.42	No	NA	NA	0	0	0	0	0	0	0	0	0
55beec67fdf99b6b670922f8	slash	-100	36	US	Male	16	White	No	575.5	584.325	No	NA	NA	0	0	0	0	0	0	0	0	0
55c43918fdf99b080551e044	slash	100	34	US	Male	14	Asian	No	631.5	761.609	No	NA	NA	0	0	0	0	0	0	0	0	0
55c82012fdf99b02adc2a36e	z	100	38	US	Female	16	White	No	764	1341.884	No	NA	NA	0	0	0	0	0	0	0	0	0
55ea70c37480920010aa9982	z	75	35	US	Male	12	Black or African American	No	464	496.509	No	NA	No	0	0	0	0	0	0	0	0	0
5607080ed7def20012b733c3	slash	100	28	US	Female	16	White	No	500	754.31	No	NA	NA	0	0	0	0	0	0	0	0	0
56279953ddff3c0005bcdba9	slash	87.5	35	US	Female	18	White	No	835.5	703.889	No	NA	NA	0	0	0	0	0	0	0	0	0
56514c84715ff50011a43878	z	37.5	35	US	Female	12	White	No	388.5	494.098	No	NA	N/A	0	0	0	0	0	0	0	0	0
568eca7be3ef9e000ca208fc	z	50	27	US	Male	16	White	No	856	632.754	No	NA	My eyes glazed over very quickly. I took this test after work, so my eyes are tired.	0	0	0	0	0	0	0	0	0
56a38b45dbe850000cfd50c3	slash	87.5	26	US	Male	16	Asian	No	498	528.233	No	NA	NA	0	0	0	0	0	0	0	0	0
56a40b90582971000c7b49b7	slash	50	36	US	Male	16	Asian	No	891.5	2446.422	No	NA	NA	0	0	0	0	0	0	0	0	0
56a93cf24020250005d62f2b	slash	100	32	US	Female	16	White	No	459	523.177	No	NA	NA	0	0	0	0	0	0	0	0	0
56b8de29e1d0a200051517f8	z	-75	40	US	Female	16	Asian	No	801	669.833	No	NA	NA	0	0	0	0	0	0	0	0	0
56d0f57421cd29000a9737e4	slash	100	39	US	Male	16	White	No	903	833.453	No	NA	NA	0	0	0	0	0	0	0	0	0
56d39b96da2aaa000dab6178	z	100	36	US	Male	16	Asian	No	520	641.288	No	NA	NA	0	0	0	0	0	0	0	0	0
56e2d87a0756b2000da6303d	z	100	30	US	Male	16	White	No	909	617.165	No	NA	I think the practice round was a bit too long.	0	0	0	0	0	0	0	0	0
56ec151f388e1d000a5924d0	z	50	37	US	Female	12	White	No	808	723.328	No	NA	NA	0	0	0	0	0	0	0	0	0
56fa002e8425ef000b3a4276	z	-100	34	US	Male	16	White	Yes	981.5	1130.038	No	NA	thank you	0	0	0	0	0	0	0	0	0
56fc4404f758b80010affdbb	slash	100	30	US	Male	12	Black or African American	No	379.5	852.73	Not sure (please explain):	I think I did something similar to this where I had to use my right and/or left index finger depending on what I saw, as quickly and accurately as possible.	NA	0	0	0	0	0	0	0	0	0
570665aeac75a4000f94eddc	z	-100	29	US	Male	12	Multiple	No	313.5	943.873	No	NA	NA	0	0	0	0	0	0	0	0	0
570b7b5fb9b52b00102d96f9	slash	100	35	US	Female	14	White	No	685	536.346	No	NA	NA	0	0	0	0	0	0	0	0	0
571643bbcd6ea20009dbb6b0	z	100	33	US	Female	16	White	No	941	616.314	No	NA	NA	0	0	0	0	0	0	0	0	0
575865ba7b74a80006de2689	slash	100	30	US	Male	12	White	Yes	488.5	898.086	No	NA	No comment.	0	0	0	0	0	0	0	0	0
5786d6076475d400015a959e	z	-100	37	US	Male	12	White	No	798.5	798.245	No	NA	NA	0	0	0	0	0	0	0	0	0
57901207c9abeb0001af353e	z	100	34	US	Female	14	White	No	533	667.76	No	NA	NA	0	0	0	0	0	0	0	0	0
57d0a0bee3221e00015fe385	z	-100	38	US	Male	12	White	Yes	781.5	675.81	No	NA	inquisit is the devil	0	0	0	0	0	0	0	0	0
57d6dd8d6598aa000199188b	slash	87.5	33	US	Female	16	Asian	No	1004	609.559	No	NA	NA	0	0	0	0	0	0	0	0	0
57d714de813eb30001825ac4	slash	62.5	38	US	Female	12	White	No	520	785.21	No	NA	NA	0	0	0	0	0	0	0	0	0
57ff0e138f420f00011a5d0e	slash	37.5	25	US	Female	16	White	Yes	402	537.896	No	NA	NA	0	0	0	0	0	0	0	0	0
580a494da38f4a00012ebfdc	slash	62.5	26	US	Male	12	White	No	582	1922.31	No	NA	NA	0	0	0	0	0	0	0	0	0
581bd344930a280001062c90	slash	100	39	US	Female	16	White	Yes	814.5	716.092	No	NA	NA	0	0	0	0	0	0	0	0	0
58211fc787f6b90001f13f90	slash	100	40	US	Male	16	White	No	554	524.145	No	NA	NA	0	0	0	0	0	0	0	0	0
583748dafb65a0000128b059	slash	-87.5	39	US	Male	16	American Indian or Alaska Native	Yes	600.5	642.514	No	NA	NA	0	0	0	0	0	0	0	0	0
583c47973f1540000163f02b	slash	100	35	US	Male	12	White	No	741.5	814.939	No	NA	NA	0	0	0	0	0	0	0	0	0
583f12f545073d0001fac52d	slash	100	36	US	Male	16	White	No	78	382.375	No	NA	NA	1	0	1	0	0	0	0	0	1
58935d5d4d77be0001689f14	z	-87.5	32	US	Male	14	White	No	713	513.857	No	NA	NA	0	0	0	0	0	0	0	0	0
58a43e029a17120001d910d5	slash	-87.5	39	US	Female	12	White	No	578.5	673.097	No	NA	NA	0	0	0	0	0	0	0	0	0
58f76757fb4d7500014af761	slash	-62.5	30	US	Female	16	White	No	887	713.64	No	NA	NA	0	0	0	0	0	0	0	0	0
59014ee029f42300013cc5b7	z	75	35	US	Female	14	White	Yes	667	684.75	No	NA	NA	0	0	0	0	0	0	0	0	0
5928b6414a05920001393ecf	z	100	31	US	Female	12	White	No	678	769.208	No	NA	Felt like I did better with my left hand even though I'm right handed	0	0	0	0	0	0	0	0	0
594936ad4152bf0001bfd5cd	z	87.5	29	US	Female	12	White	No	835.5	787.818	No	NA	NA	0	0	0	0	0	0	0	0	0
594a964c215cbd000146de75	z	100	33	US	Female	16	American Indian or Alaska Native	Yes	541	614.625	No	NA	NA	0	0	0	0	0	0	0	0	0
594a969df0ea1b0001558178	z	-87.5	30	US	Male	18	White	No	525.5	586.217	No	NA	NA	0	0	0	0	0	0	0	0	0
594c1e5a9160cb00011d6474	slash	-25	30	US	Male	16	White	No	488.5	704.967	No	NA	NA	0	0	0	0	0	0	0	0	0
59598e604c20120001517c99	slash	100	39	US	Male	12	White	No	888	975.686	No	NA	NA	0	0	0	0	0	0	0	0	0
596fea64a5c32a0001584755	z	75	30	US	Female	16	White	No	1098	700.419	No	NA	NA	0	0	0	0	0	0	0	0	0
59715b4b50e2f000016fe00e	slash	100	37	US	Male	16	White	No	152	464.707	No	NA	NA	1	0	1	0	0	0	0	0	1
59a07638bfd73c00010ea394	z	75	23	US	Male	12	Black or African American	No	837	531.234	No	NA	NA	0	0	0	0	0	0	0	0	0
59b0106d834a170001d6061c	z	-100	38	US	Female	16	White	No	845.5	676.087	NA	NA	NA	0	0	0	0	0	0	0	0	0
59d5c894c732930001d88b5e	slash	62.5	30	US	Male	16	White	Yes	940	860.04	No	NA	none	0	0	0	0	0	0	0	0	0
59d662aa0c0c7100015b9af6	z	100	40	US	Male	16	Asian	No	523	1606.912	No	NA	NA	0	0	0	0	0	0	0	0	0
5a01e188ab721b0001ef7134	z	-87.5	36	US	Male	14	White	No	769.5	699.944	No	NA	NA	0	0	0	0	0	0	0	0	0
5a04869ff2e3460001edad2e	z	100	31	US	Male	12	White	No	912.5	935.733	No	NA	NA	0	0	0	0	0	0	0	0	0
5a348ea750833c0001ee9550	slash	-25	35	US	Female	16	White	No	496.5	663.315	No	NA	NA	0	0	0	0	0	0	0	0	0
5a35ecbf57d4450001236fd3	z	-100	30	US	Male	18	Multiple	No	884.5	635.485	No	NA	NA	0	0	0	0	0	0	0	0	0
5a5e94a7eedc32000142cd08	z	100	26	US	Male	12	White	No	498	719.298	No	NA	NA	0	0	0	0	0	0	0	0	0
5a6ff39ef660ae0001a9837e	slash	75	25	US	Female	12	White	No	569.5	1529.713	No	NA	NA	0	0	0	0	0	0	0	0	0
5a78dbb9ae9a0b0001a97212	z	100	35	US	Male	16	White	No	856.5	677.646	No	NA	NA	0	0	0	0	0	0	0	0	0
5a7ab4c0f1408d0001761db7	slash	100	24	US	Female	16	Asian	No	380.5	631.04	No	NA	NA	0	0	0	0	0	0	0	0	0
5a94ca1a873cda0001dc7147	slash	62.5	32	US	Male	16	White	No	876.5	694.143	No	NA	NA	0	0	0	0	0	0	0	0	0
5a98b39b89de8200013ef94f	z	100	25	US	Male	16	Black or African American	No	1060.5	687.745	No	NA	NA	0	0	0	0	0	0	0	0	0
5a9dd8b1873cda00010d18c5	slash	75	28	US	Female	12	White	No	486	837.938	No	NA	NA	0	0	0	0	0	0	0	0	0
5aa3609e6475f90001a04905	slash	75	25	US	Female	14	White	No	440	517.153	Yes	NA	Thank you for the opportunity to participate.	0	0	0	0	0	0	1	0	1
5aa6e29435237b0001130d68	z	-87.5	27	US	Female	18	Asian	No	571.5	618.215	No	NA	NA	0	0	0	0	0	0	0	0	0
5aadbe52811b2000016f7633	z	-100	36	US	Male	18	White	No	425	823.573	No	NA	NA	0	0	0	0	0	0	0	0	0
5ab7c19e1667e40001d7cd93	z	100	30	US	Female	16	White	No	475	657.271	No	NA	NA	0	0	0	0	0	0	0	0	0
5ac5300f9534ba0001c7446b	slash	-25	39	US	Male	16	White	No	503	621.306	No	NA	NA	0	0	0	0	0	0	0	0	0
5ac6ca185cd105000162499d	slash	100	33	US	Female	21	White	No	733.5	683.743	No	NA	NA	0	0	0	0	0	0	0	0	0
5ad7835e9c198c0001fad31a	slash	100	34	US	Female	12	White	No	945.5	832.392	No	NA	NA	0	0	0	0	0	0	0	0	0
5adef850eb60400001539109	z	100	25	US	Male	12	White	Yes	773	649.331	No	NA	NA	0	0	0	0	0	0	0	0	0
5adf3828dee8590001b05860	slash	100	35	US	Male	16	White	No	462.5	661.125	No	NA	NA	1	0	0	0	0	0	0	0	1
5ae3a41d32ef52000131a531	slash	25	24	US	Male	12	Black or African American	No	851	729.752	No	NA	NA	0	0	0	0	0	0	0	0	0
5aee513f3606ab0001b92b29	slash	-50	37	US	Male	12	White	No	821	588.153	No	NA	NA	0	0	0	0	0	0	0	0	0
5aee59100ccc2e000185937c	slash	75	35	US	Female	14	White	No	867.5	1056.266	No	NA	NA	0	0	0	0	0	0	0	0	0
5af238825847970001e34baf	z	-100	22	US	Female	12	White	No	675	633.402	No	NA	NA	0	0	0	0	0	0	0	0	0
5af309960eca060001b15b47	slash	-50	25	US	Male	16	White	No	499.5	732.525	No	NA	NA	0	0	0	0	0	0	0	0	0
5af491b6222e4d0001877572	slash	100	40	US	Female	16	White	No	533.5	720.339	No	NA	NA	0	0	0	0	0	0	0	0	0
5b066e00f58f8400018b0906	z	87.5	33	US	Male	12	White	No	411	1152.519	No	NA	NA	0	0	0	0	0	0	0	0	0
5b0cb441444cef0001ca5fbd	z	-37.5	38	US	Male	14	Multiple	No	171.5	466.02	No	NA	NA	0	0	1	0	0	0	0	0	1
5b15307351caaf0001228d9b	z	100	32	US	Female	12	White	No	728.5	930.677	No	NA	no	0	0	0	0	0	0	0	0	0
5b3e2334cdb4ce0001d93c51	z	87.5	34	US	Male	16	White	Yes	692.5	536.795	Not sure (please explain):	Yes very similar but having to press different keys for different shape. Not this exact study.	NA	0	0	0	0	0	0	0	0	0
5b48a9e14acd54000132a67f	z	50	38	US	Male	16	White	No	451.5	587.816	No	NA	NA	0	0	0	0	0	0	0	0	0
5b5c8d4e10aec90001ed4bee	slash	-75	23	US	Female	16	White	No	461.5	476.662	No	NA	NA	0	0	0	0	0	0	0	0	0
5b5d13d25256470001bc5ef2	slash	-50	27	US	Male	12	White	No	440	528.747	No	NA	NA	0	0	0	0	0	0	0	0	0
5b666901f7798c000182c01c	slash	100	38	US	Male	12	White	No	703	664.325	No	NA	it was fun	0	0	0	0	0	0	0	0	0
5b76d0f5fca8d9000139404c	slash	87.5	32	US	Male	14	White	No	627.5	572.049	No	NA	NA	0	0	0	0	0	0	0	0	0
5b7c877f9dc643000172043d	slash	100	39	US	Male	18	White	No	669	663.503	No	NA	NA	0	0	0	0	0	0	0	0	0
5b9530390f85f600015705bf	z	100	32	US	Female	16	White	No	931.5	784.061	No	NA	n/a	0	0	0	0	0	0	0	0	0
5b9dd322f074140001050095	z	-50	35	US	Female	12	White	No	866.5	752.309	No	NA	NA	0	0	0	0	0	0	0	0	0
5ba854ed7c0ebe0001272f2d	z	87.5	31	US	Male	16	White	No	931	761.416	No	NA	NA	0	0	0	0	0	0	0	0	0
5ba855d47c0ebe0001272f70	slash	12.5	28	US	Male	16	White	No	867	776.976	No	NA	NA	0	0	0	0	0	0	0	0	0
5bb8740a0cb04c00014f72e9	slash	87.5	27	US	Female	16	Multiple	No	566.5	663.812	No	NA	NA	0	0	0	0	0	0	0	0	0
5bbe6691ba8d7d0001951ef9	slash	87.5	24	US	Female	16	Black or African American	Yes	343.5	626.961	No	NA	NA	0	0	0	0	0	0	0	0	0
5bc0ac845a09ea00012e2d30	slash	-50	35	US	Female	12	White	No	552	558.282	No	NA	NA	0	0	0	0	0	0	0	0	0
5bcc60b95c2b810001dc68e2	z	-100	27	US	Male	21	White	No	870	605.315	No	NA	NA	0	0	0	0	0	0	0	0	0
5be2991826f9ec00013f6f40	slash	100	26	US	Male	16	White	No	534.5	577.195	No	NA	NA	0	0	0	0	0	0	0	0	0
5be31629e69dde0001a2fdd3	z	50	29	US	Female	18	White	Yes	580.5	738.062	No	NA	NA	0	1	0	0	0	0	0	0	1
5bea832a4fbb6f00017ea3e9	slash	87.5	35	US	Male	12	Black or African American	No	829.5	684.967	No	NA	NA	0	0	0	0	0	0	0	0	0
5bf28a086d4c3e00014410f7	slash	-87.5	22	US	Male	12	Black or African American	No	436.5	590.432	No	NA	NA	0	0	0	0	0	0	0	0	0
5bf4f905345b9b00016eda45	slash	100	32	US	Male	8	White	Yes	486.5	646.459	No	NA	There was a similar task I did involving the mouse and selecting the shape that was different from a group of 4 shapes while ignoring the colors, but nothing like this exact experiment.	0	0	0	0	0	0	0	0	0
5c060efc891bb4000121c377	z	100	40	US	Male	14	White	No	710.5	536.426	No	NA	Thank you	0	0	0	0	0	0	0	0	0
5c06b3f64a2b7b0001c3c185	slash	100	37	US	Female	16	Multiple	Yes	676	697.935	No	NA	Interesting exercise. Good luck with your research.	0	0	0	0	0	0	0	0	0
5c0a22affe40eb00016262b6	z	100	28	US	Female	16	White	No	471.5	995.751	No	NA	NA	0	0	0	0	0	0	0	0	0
5c109903e6eb4e0001b29e44	slash	100	30	US	Female	16	White	No	950.5	754.072	No	NA	NA	0	0	0	0	0	0	0	0	0
5c16e72c91defa000115c8ec	z	100	31	US	Male	16	White	No	668.5	590.722	No	NA	no issues or additional commentary	0	0	0	0	0	0	0	0	0
5c17294778ee390001ab19e5	slash	100	25	US	Male	16	White	No	839	631.351	No	NA	NA	0	0	0	0	0	0	0	0	0
5c284ae48e845b0001fc40aa	z	-100	37	US	Male	16	White	No	694	1254.038	No	NA	NA	0	0	0	0	0	0	0	0	0
5c28e9dfda51990001e3204b	slash	0	38	US	Female	14	White	No	854	694.491	No	NA	NA	0	0	0	0	0	0	0	0	0
5c2a92b4b8e5f900015b3f58	slash	-100	31	US	Female	16	White	No	909	641.812	No	NA	NA	0	0	0	0	0	0	0	0	0
5c3a925919ceb400010c9344	slash	100	22	US	Male	12	White	No	422.5	492.495	No	NA	NA	0	0	0	0	0	0	0	0	0
5c48ca334635bf000171c13f	slash	100	34	US	Female	14	White	No	773.5	670.92	No	NA	NA	0	0	0	0	0	0	0	0	0
5c4e3977c0783c00016936f9	slash	100	28	US	Male	14	White	No	758.5	848.434	No	NA	NA	0	0	0	0	0	0	0	0	0
5c4e9bd1818d4d00013e8859	z	100	31	US	Female	14	White	No	431.5	965.486	No	NA	NA	0	0	0	0	0	0	0	0	0
5c535974b7cf140001d308d3	slash	62.5	29	US	Female	12	White	No	763.5	692.374	No	NA	NA	0	0	0	0	0	0	0	0	0
5c573f18d3cc6b0001d9dbc3	z	100	30	US	Male	16	Black or African American	No	619	902.429	No	NA	NA	0	0	0	0	0	0	0	0	0
5c58e01e6f4ec5000164c35a	z	100	30	US	Female	12	White	No	492.5	550.607	No	NA	NA	0	0	0	0	0	0	0	0	0
5c64189eede39b0001c39e61	slash	100	35	US	Male	8	Multiple	Yes	749.5	777.663	No	NA	NA	0	0	0	0	0	0	0	0	0
5c6ac9e5d9c5be000174497f	z	100	28	US	Female	12	White	No	619	597.937	No	NA	NA	0	0	0	0	0	0	0	0	0
5c800507a1d4b900114f28c4	slash	87.5	31	US	Male	12	White	No	640	551.492	No	NA	NA	0	0	0	0	0	0	0	0	0
5c958b7bd676900001e1a73b	slash	100	24	US	Female	12	White	No	870.5	625.79	No	NA	A progress bar would be nice	0	0	0	0	0	0	0	0	0
5c9a7a644a640200171c0cc2	slash	75	32	US	Female	18	White	No	534	537.684	No	NA	NA	0	0	0	0	0	0	0	0	0
5c9ebf067114700016da2813	slash	62.5	31	US	Male	14	Multiple	Yes	442	977.749	No	NA	NA	0	0	0	0	0	0	0	0	0
5ca4bade374f11000118f010	z	100	23	US	Male	12	White	No	638	651.53	No	NA	NA	0	0	0	0	0	0	0	0	0
5caa7f8c0d95570013d82f2f	z	12.5	33	US	Female	18	White	Yes	593.5	635.588	No	NA	NA	0	0	0	0	0	0	0	0	0
5cab7cc86d3a6e001519d9e9	slash	-100	34	US	Male	12	White	No	768.5	745.424	No	NA	NA	0	0	0	0	0	0	0	0	0
5cb568ebf0e31e0017d9bf32	z	100	38	US	Female	14	White	No	648	916.904	No	NA	no feedback	0	0	0	0	0	0	0	0	0
5cbb78d664170f00011d7c4f	slash	100	26	US	Female	16	White	No	634	708.389	No	NA	NA	0	0	0	0	0	0	0	0	0
5cc5e72ce3c44e0015fdf990	slash	50	28	US	Not listed: nonbinary	14	White	No	560	911.928	No	NA	NA	0	0	0	0	0	0	0	0	0
5ccba9db385fbf0001f55fd6	z	-100	35	US	Female	16	White	No	522.5	692.359	No	NA	NA	0	0	0	0	0	0	0	0	0
5cd063ce657e300016f6c95a	slash	-62.5	31	US	Male	14	Multiple	No	681.5	696.388	No	NA	NA	0	0	0	0	0	0	0	0	0
5cd3ff1ac99584000199dd15	slash	100	37	US	Male	16	White	No	984	1029.679	No	NA	NA	0	0	0	0	0	0	0	0	0
5cdad620eae6f70019d4e950	slash	75	33	US	Male	16	White	No	660	643.099	No	NA	NA	0	0	0	0	0	0	0	0	0
5ced82e372abf2000174775e	z	25	29	US	Male	16	White	No	476	645.593	No	NA	N/A	0	0	0	0	0	0	0	0	0
5cfb5233df7d70001619ca90	slash	87.5	24	US	Male	16	White	No	1083	1003.613	No	NA	Great.	0	0	0	0	0	0	0	0	0
5d10102523f6320017c63e07	slash	87.5	28	US	Female	16	Black or African American	No	875.5	661.618	No	NA	NA	0	0	0	0	0	0	0	0	0
5d158f6419d2ed0001e2120c	z	75	19	US	Female	12	White	No	627	568.021	No	NA	NA	0	0	0	0	0	0	0	0	0
5d17a2c94d7eea00170c3aca	slash	100	25	US	Male	16	Multiple	No	363.5	494.465	No	NA	NA	0	0	0	0	0	0	0	0	0
5d193535601cd70017727028	slash	100	37	US	Female	12	White	No	1089.5	739.837	No	NA	NA	0	0	0	0	0	0	0	0	0
5d1ba5653788ac0019ced548	slash	100	39	US	Female	16	White	Yes	635.5	626.097	No	NA	NA	0	0	0	0	0	0	0	0	0
5d1beb9c9e033e0017a725dc	z	100	36	US	Male	18	Black or African American	No	877	617.685	No	NA	NA	0	0	0	0	0	0	0	0	0
5d1d0270601cd7000172942f	z	75	27	US	Female	16	White	No	932	637.739	No	NA	NA	0	0	0	0	0	0	0	0	0
5d1e2045a37a4d001a1fc2cb	slash	-50	23	US	Male	14	Black or African American	No	761.5	874.641	No	NA	NA	0	0	0	0	0	0	0	0	0
5d269fedf6dec40019b87a59	z	100	36	US	Male	16	White	Yes	661.5	1037.386	No	NA	NA	0	0	0	0	0	0	0	0	0
5d296b94d7d4940015e62ca6	slash	37.5	34	US	Female	21	Multiple	No	329.5	665.198	No	NA	NA	0	0	0	0	0	0	0	0	0
